CellID, Experimenter, Species, Channel, CellType, Path, Status
331_1, MPG, Mouse, ch2,Amygdala, \001_141117_A1_LApy_MPG Folder, 1
332_1, MPG, Mouse, ch2,Amygdala, \001_141117_B1_LApy_MPG Folder, 1
333_1, MPG, Mouse, ch2,Amygdala, \001_141118_A1_LApy_MPG Folder, 1
334_1, MPG, Mouse, ch2,Amygdala, \001_141118_A2_LApy_MPG Folder, 1
335_1, MPG, Mouse, ch2,Amygdala, \001_141118_B1_LApy_MPG Folder, 1
336_1, MPG, Mouse, ch2,Amygdala, \001_141120_A1_LApy_MPG Folder, 1
337_1, MPG, Mouse, ch2,Amygdala, \001_141120_A2_LApy_MPG Folder, 1
338_1, MPG, Mouse, ch2,Amygdala, \001_141120_B1_LApy_MPG Folder, 1
339_1, MPG, Mouse, ch2,Amygdala, \001_141120_B2_LApy_MPG Folder, 1
340_1, MPG, Rat, ch2, CA1PC, \001_141208_A2_CA1py_R_MPG Folder\001_141208_A2_CA1py_R_MPG Folder, 1
341_1, MPG, Rat, ch2, CA1PC, \001_141208_B1_CA1py_R_MPG Folder\001_141208_B1_CA1py_R_MPG Folder, 1
342_1, MPG, Rat, ch2, CA1PC, \001_141209_A1_CA1py_R_MPG Folder\001_141209_A1_CA1py_R_MPG Folder, 1
343_1, MPG, Rat, ch2, CA1PC, \001_141209_B1_CA1py_R_MPG Folder\001_141209_B1_CA1py_R_MPG Folder, 1
344_1, MPG, Rat, ch2, CA1PC, \001_141215_A1_CA1py_R_MPG Folder\001_141215_A1_CA1py_R_MPG Folder, 1
345_1, MPG, Rat, ch2, CA1PC, \001_141216_A1_CA1py_R_MPG Folder\001_141216_A1_CA1py_R_MPG Folder, 1
346_1, MPG, Rat, ch2, CA1PC, \001_141216_A2_CA1py_R_MPG Folder\001_141216_A2_CA1py_R_MPG Folder, 1
347_1, MPG, Rat, ch2, CA1PC, \001_141217_A1_CA1py_R_MPG Folder\001_141217_A1_CA1py_R_MPG Folder, 1
348_1, MPG, Mouse, ch2, L5PC, \001_150119_A1_S1L5py_MPG Folder\001_150119_A1_S1L5py_MPG Folder, 1
349_1, MPG, Mouse, ch2, L5PC, \001_150119_B1_S1L5py_MPG Folder\001_150119_B1_S1L5py_MPG Folder, 1
350_1, MPG, Mouse, ch2, L5PC, \001_150122_A1_S1L5py_MPG Folder\001_150122_A1_S1L5py_MPG Folder, 1
351_1, MPG, Mouse, ch2, L5PC, \001_150122_A2_S1L5py_MPG Folder\001_150122_A2_S1L5py_MPG Folder, 1
352_1, MPG, Mouse, ch2, L5PC, \001_150127_A1_S1L5py_MPG Folder\001_150127_A1_S1L5py_MPG Folder, 1
353_1, MPG, Mouse, ch2, L5PC, \001_150209_A1_S1L5py_MPG Folder\001_150209_A1_S1L5py_MPG Folder, 1
354_1, MPG, Mouse, ch2, L5PC, \001_150209_A2_S1L5py_MPG Folder\001_150209_A2_S1L5py_MPG Folder, 1
355_1, MPG, Mouse, ch2, CA1PC, \001_150211_A2_CA1py_MPG Folder\001_150211_A2_CA1py_MPG Folder, 1
356_1, MPG, Mouse, ch2, CA1PC, \001_150216_A1_CA1py_MPG Folder\001_150216_A1_CA1py_MPG Folder, 1
357_1, MPG, Mouse, ch2, CA1PC, \001_150216_A2_CA1py_MPG Folder\001_150216_A2_CA1py_MPG Folder, 1
358_1, MPG, Mouse, ch2, CA1PC, \001_150217_A1_CA1py_MPG Folder\001_150217_A1_CA1py_MPG Folder, 1
359_1, MPG, Mouse, ch2, CA1PC, \001_150217_A2_CA1py_MPG Folder\001_150217_A2_CA1py_MPG Folder, 1
360_1, MPG, Mouse, ch2, CA1PC, \001_150217_A3_CA1py_MPG Folder\001_150217_A3_CA1py_MPG Folder, 1
361_1, MPG, Mouse, ch2, CA1PC, \001_150218_A1_CA1py_MPG Folder\001_150218_A1_CA1py_MPG Folder, 1
362_1, MPG, Mouse, ch2, CA1PC, \001_150218_A2_CA1py_MPG Folder\001_150218_A2_CA1py_MPG Folder, 1
363_1, MPG, Mouse, ch2, CA1PC, \001_150223_A1_CA1py_MPG Folder\001_150223_A1_CA1py_MPG Folder, 1
364_1, MPG, Mouse, ch2, CA1PC, \001_150223_B1_CA1py_MPG Folder\001_150223_B1_CA1py_MPG Folder, 1
365_1, MPG, Mouse, ch2, CA1PC, \001_150224_A1_CA1py_MPG Folder\001_150224_A1_CA1py_MPG Folder, 1
366_1, MPG, Mouse, ch2, CA1PC, \001_150224_A2_CA1py_MPG Folder\001_150224_A2_CA1py_MPG Folder, 1
367_1, MPG, Mouse, ch2, CA1PC, \001_150224_B1_CA1py_MPG Folder\001_150224_B1_CA1py_MPG Folder, 1
368_1, MPG, Mouse, ch2, CA1PC, \001_150224_B2_CA1py_MPG Folder\001_150224_B2_CA1py_MPG Folder, 1
369_1, MPG, Mouse, ch2, CA1PC, \001_150226_A1_CA1py_MPG Folder\001_150226_A1_CA1py_MPG Folder, 1
370_1, MPG, Mouse, ch2, CA1PC, \001_150302_A1_CA1py_MPG Folder\001_150302_A1_CA1py_MPG Folder, 1
371_1, MPG, Mouse, ch2, CA1PC, \001_150303_A1_CA1py_MPG Folder\001_150303_A1_CA1py_MPG Folder, 1
